date,名目GDP（兆US$）,GDP成長率（年率%）
1980,0.1914875,7.83414501593799
1981,0.196218253968254,5.11276109058952
1982,0.205480916030534,9.05928417062999
1983,0.23113026819923402,10.7273706842105
1984,0.260442857142857,15.2325609955089
1985,0.31006462585034,13.435474366529
1986,0.301310144927536,8.93506493506504
1987,0.273455156950673,11.6282225655699
1988,0.312888888888889,11.2225949825209
1989,0.348380566801619,4.20633435547828
1990,0.36156022944550703,3.9416305983694
1991,0.384510452961672,9.36170212784847
1992,0.428502354788069,14.2996108947926
1993,0.446557291212148,13.9290780143689
1994,0.566929539493172,13.0727091631599
1995,0.7381908962275501,11.0328121562746
1996,0.868523936530083,9.97619992053447
1997,0.967753570434667,9.2876465280865
1998,1.03713414176035,7.92079207933551
1999,1.1038432035756398,7.7370030581299
2000,1.22375491997105,8.58643201808462
2001,1.35503659025152,8.31263887091522
2002,1.48982168205054,9.24339326638321
2003,1.68390330984385,10.1181928640117
2004,1.98419655130044,10.1314073631003
2005,2.3175512980520496,11.458238455067
2006,2.79149847280433,12.6746751655235
2007,3.6040558225716297,14.1499854947127
2008,4.66734641452195,9.67024588602851
2009,5.18957709499758,9.40269972778044
2010,6.19256487445329,10.5962719761682
2011,7.67175720785129,9.4613358870736
2012,8.67366471318924,7.85617427055587
2013,9.74312424726724,7.77872409446717
2014,10.674533168257401,7.46190028229434
2015,11.2808147874689,6.97878002657477
2016,11.456024084962,6.77555562837017
2017,12.5375590622829,6.8912663621211
2018,14.147765772963801,6.75671800166833
2019,14.560167101283401,6.06850235053705
2020,14.9964141667151,2.34018843078414
2021,18.201698719564,8.57008513166322
2022,18.3167650216902,3.1341888719577
2023,18.2703566545332,5.41484330099675
2024,18.7438031708272,4.9773565917572
